epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,536.903,1.0156,0.78468,1.2904,0.94584,0.90769,0.97076,0.66873,1.07578,0.73022,1.37476,0.000742625,0.000742625,0.000742625
43,554.174,1.05867,0.80226,1.31622,0.96958,0.9274,0.95657,0.73801,0.93526,0.67655,1.25056,0.00073025,0.00073025,0.00073025
44,571.665,1.03333,0.79644,1.27507,0.93836,0.96427,0.98345,0.72446,0.95662,0.67074,1.27464,0.000717875,0.000717875,0.000717875
45,590.017,1.02619,0.80846,1.3025,0.93406,0.94106,0.98517,0.74056,0.84682,0.62092,1.18719,0.0007055,0.0007055,0.0007055
46,608.675,1.02014,0.76208,1.27159,0.98021,0.85652,0.93694,0.69202,0.87051,0.76863,1.19952,0.000693125,0.000693125,0.000693125
47,626.695,1.00195,0.76381,1.27238,0.88497,0.96936,0.96706,0.73893,0.96664,0.70746,1.35433,0.00068075,0.00068075,0.00068075
48,643.916,0.98649,0.76424,1.25742,0.88735,0.97243,0.95255,0.6787,0.92469,0.68584,1.1866,0.000668375,0.000668375,0.000668375
49,659.593,1.01984,0.76832,1.27239,0.87064,0.85043,0.89834,0.66009,0.94335,0.98016,1.23596,0.000656,0.000656,0.000656
50,674.789,0.993,0.73196,1.25611,0.87962,0.97778,0.98154,0.75328,0.84107,0.57685,1.20099,0.000643625,0.000643625,0.000643625
51,690.776,0.98505,0.74522,1.25544,0.9585,1,0.995,0.7623,0.82657,0.50655,1.16469,0.00063125,0.00063125,0.00063125
52,706.954,0.97049,0.73942,1.24066,0.9683,0.97563,0.99078,0.71549,0.91682,0.59861,1.23017,0.000618875,0.000618875,0.000618875
53,723.079,0.93935,0.71797,1.22382,0.97559,0.95129,0.99192,0.77279,0.85346,0.50621,1.1738,0.0006065,0.0006065,0.0006065
54,739.069,0.95252,0.68291,1.24109,0.95989,0.99344,0.99046,0.78215,0.82333,0.51042,1.16263,0.000594125,0.000594125,0.000594125
